       x:             u(x):          v(x):        log10(RelativeError):   
     0.26973027     0.66413630     -268.98774     -2.7275474
     0.27072927     0.66380150     -269.98770     -2.7293274
     0.27172827     0.66346006     -270.98765     -2.7311074
     0.27272727     0.66311203     -271.98761     -2.7328875
     0.27372627     0.66275749     -272.98756     -2.7346678
     0.27472527     0.66239651     -273.98752     -2.7364481
     0.27572428     0.66202913     -274.98747     -2.7382287
     0.27672328     0.66165544     -275.98742     -2.7400096
     0.27772228     0.66127549     -276.98738     -2.7417909
     0.27872128     0.66088935     -277.98733     -2.7435725
     0.27972028     0.66049707     -278.98729     -2.7453545
     0.28071928     0.66009872     -279.98724     -2.7471371
     0.28171828     0.65969436     -280.98720     -2.7489202
     0.28271728     0.65928404     -281.98715     -2.7507039
     0.28371628     0.65886783     -282.98711     -2.7524883
     0.28471528     0.65844579     -283.98706     -2.7542734
     0.28571429     0.65801797     -284.98702     -2.7560593
     0.28671329     0.65758444     -285.98697     -2.7578460
     0.28771229     0.65714524     -286.98692     -2.7596336
     0.28871129     0.65670044     -287.98688     -2.7614222
     0.28971029     0.65625008     -288.98683     -2.7632117
     0.29070929     0.65579424     -289.98679     -2.7650023
     0.29170829     0.65533295     -290.98674     -2.7667940
     0.29270729     0.65486628     -291.98670     -2.7685869
     0.29370629     0.65439428     -292.98665     -2.7703810
     0.29470529     0.65391700     -293.98661     -2.7721764
     0.29570430     0.65343449     -294.98656     -2.7739731
     0.29670330     0.65294681     -295.98652     -2.7757713
     0.29770230     0.65245401     -296.98647     -2.7775709
     0.29870130     0.65195614     -297.98643     -2.7793720
     0.29970030     0.65145324     -298.98638     -2.7811746
     0.30069930     0.65094538     -299.98633     -2.7829789
     0.30169830     0.65043259     -300.98629     -2.7847849
     0.30269730     0.64991494     -301.98624     -2.7865927
     0.30369630     0.64939246     -302.98620     -2.7884022
     0.30469530     0.64886520     -303.98615     -2.7902136
     0.30569431     0.64833322     -304.98611     -2.7920270
     0.30669331     0.64779655     -305.98606     -2.7938423
     0.30769231     0.64725525     -306.98602     -2.7956597
     0.30869131     0.64670936     -307.98597     -2.7974792
     0.30969031     0.64615894     -308.98593     -2.7993009
